0.000000000000000000e+00,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-2.043073897508961068e+00,-1.852304273029521386e+00,-1.940179474346328314e+00,-9.554688746266296606e-01,-1.686398953570228842e+00,-inf
-inf,-1.403036542262964037e+00,-1.938699089175893953e+00,-1.486041786876910242e+00,-1.251486644135763271e+00,-2.323665675735717251e+00,-inf
-inf,-2.077174578977460051e+00,-1.754944194021157644e+00,-1.749490343338693910e+00,-7.359840643006673178e-01,-3.017915339109049633e+00,-inf
-inf,-2.379727227937260992e+00,-1.878729693107532794e+00,-1.618076293043671177e+00,-8.629623887345259092e-01,-2.006563064617417513e+00,-inf
-inf,-2.302132501902364403e+00,-2.044303392600264502e+00,-1.713843198135679424e+00,-7.309745687798253622e-01,-2.217575113874301174e+00,-inf
-inf,-2.380175015528150695e+00,-2.011470803395055906e+00,-1.741566976964558977e+00,-7.291510693159475309e-01,-2.153217092138470345e+00,-inf
-inf,-2.032707645175771294e+00,-1.770804104052067007e+00,-1.670062534250535302e+00,-1.166765176905335988e+00,-1.613367190573989918e+00,-inf
-inf,-1.593873395892988931e+00,-1.748024075720247206e+00,-1.473947655324244765e+00,-1.304262682534802265e+00,-2.100845450342989640e+00,-inf
-inf,-2.102345339145975878e+00,-1.796510071986652912e+00,-1.435400530980054823e+00,-1.457772828734587689e+00,-1.422213526698100861e+00,-inf
-inf,-2.066121363174708847e+00,-1.940906208094435703e+00,-1.420044737295425685e+00,-1.203103765252456769e+00,-1.672452116154601320e+00,-inf
-inf,-inf,-inf,-inf,-inf,-inf,0.000000000000000000e+00
