-inf,-5.192956850890210418e+00,-inf,-inf,-5.886104031450155816e+00,-inf,-inf,-5.886104031450155816e+00,-inf,-inf,-1.117330059812518886e-02,-inf
-inf,-inf,0.000000000000000000e+00,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,0.000000000000000000e+00,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-1.357416115321450067e-01,-4.842243661100638974e+00,-inf,-inf,-4.707856470392220771e+00,-inf,-inf,-2.207353514865942223e+00,-1.051899746336892072e+01
-inf,-inf,-inf,-inf,-inf,0.000000000000000000e+00,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,0.000000000000000000e+00,-inf,-inf,-inf,-inf,-inf
-inf,-3.562907670210188282e+00,-inf,-inf,-inf,-inf,-3.415407244338558024e-01,-4.104216310701255033e+00,-inf,-inf,-1.409213824991520259e+00,-8.940498217652733004e+00
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.000000000000000000e+00,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.000000000000000000e+00,-inf,-inf
-inf,-2.629101784984161139e+00,-inf,-inf,-2.169185357271826486e+00,-inf,-inf,-inf,-inf,-1.112932342442858324e+00,-7.236226745569790397e-01,-inf
-inf,-3.410909318044946126e+00,-inf,-inf,-3.465191998513470040e+00,-inf,-inf,-5.202184173742799622e+00,-inf,-inf,-7.541233221388325692e-02,-5.858237229896504417e+00
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
